,SizeRank,County,Year,Value
1071,462,Livingston Parish,2008,130222.31200215509
1072,1041,Washington Parish,2008,187175.5656446961
1073,1360,Iberville Parish,2008,187143.71135508333
1074,1560,West Baton Rouge Parish,2008,209267.57894033563
1075,1661,Plaquemines Parish,2008,197506.22399130528
1076,1725,Pointe Coupee Parish,2008,180299.67947497245
1077,2071,West Feliciana Parish,2008,260419.15679167773
1078,158,East Baton Rouge Parish,2008,133709.5402850866
1079,160,Jefferson Parish,2008,164812.10650107058
1080,178,Orleans Parish,2008,114640.97694412062
1081,274,Caddo Parish,2008,49692.7025122734
1082,462,Livingston Parish,2008,130436.28188645768
1083,1041,Washington Parish,2008,187175.5656446961
1084,1360,Iberville Parish,2008,187143.71135508333
1085,1560,West Baton Rouge Parish,2008,209267.57894033563
1086,1661,Plaquemines Parish,2008,198181.79182826064
1087,1725,Pointe Coupee Parish,2008,180299.67947497245
1088,2071,West Feliciana Parish,2008,260419.15679167773
1089,158,East Baton Rouge Parish,2008,134102.61979164247
1090,160,Jefferson Parish,2008,163892.51682977015
1091,178,Orleans Parish,2008,113975.02573117884
1092,274,Caddo Parish,2008,49973.98876467119
1093,462,Livingston Parish,2008,130819.74476899995
1094,1041,Washington Parish,2008,187175.5656446961
1095,1360,Iberville Parish,2008,187143.71135508333
1096,1560,West Baton Rouge Parish,2008,209267.57894033563
1097,1661,Plaquemines Parish,2008,198185.3980622657
1098,1725,Pointe Coupee Parish,2008,180299.67947497245
1099,2071,West Feliciana Parish,2008,260419.15679167773
1100,158,East Baton Rouge Parish,2008,134587.05722632754
1101,160,Jefferson Parish,2008,163515.06433723637
1102,178,Orleans Parish,2008,116439.2856346637
1103,274,Caddo Parish,2008,50334.61216518116
1104,462,Livingston Parish,2008,131192.38894952694
1105,1041,Washington Parish,2008,187175.5656446961
1106,1360,Iberville Parish,2008,187143.71135508333
1107,1560,West Baton Rouge Parish,2008,209267.57894033563
1108,1661,Plaquemines Parish,2008,197364.37878710465
1109,1725,Pointe Coupee Parish,2008,180299.67947497245
1110,2071,West Feliciana Parish,2008,260419.15679167773
1111,158,East Baton Rouge Parish,2008,134690.43593447373
1112,160,Jefferson Parish,2008,163826.4025396766
1113,178,Orleans Parish,2008,119357.93102279112
1114,274,Caddo Parish,2008,50481.26568138855
1115,462,Livingston Parish,2008,131456.84610990094
1116,1041,Washington Parish,2008,187175.5656446961
1117,1360,Iberville Parish,2008,187143.71135508333
1118,1560,West Baton Rouge Parish,2008,209267.57894033563
1119,1661,Plaquemines Parish,2008,196165.90701940985
1120,1725,Pointe Coupee Parish,2008,180299.67947497245
1121,2071,West Feliciana Parish,2008,260419.15679167773
1122,158,East Baton Rouge Parish,2008,134401.93721406575
1123,160,Jefferson Parish,2008,163094.33703664137
1124,178,Orleans Parish,2008,122092.65847665849
1125,274,Caddo Parish,2008,50435.58671732395
1126,462,Livingston Parish,2008,131438.81493987542
1127,1041,Washington Parish,2008,187175.5656446961
1128,1360,Iberville Parish,2008,187143.71135508333
1129,1560,West Baton Rouge Parish,2008,209267.57894033563
1130,1661,Plaquemines Parish,2008,194878.4814795892
1131,1725,Pointe Coupee Parish,2008,180299.67947497245
1132,2071,West Feliciana Parish,2008,260419.15679167773
1133,158,East Baton Rouge Parish,2008,134073.76991960168
1134,160,Jefferson Parish,2008,162286.54061949902
1135,178,Orleans Parish,2008,123077.16036005072
1136,274,Caddo Parish,2008,50261.28540707747
1137,462,Livingston Parish,2008,131176.76193550482
1138,1041,Washington Parish,2008,187175.5656446961
1139,1360,Iberville Parish,2008,187143.71135508333
1140,1560,West Baton Rouge Parish,2008,209267.57894033563
1141,1661,Plaquemines Parish,2008,194147.61805455567
1142,1725,Pointe Coupee Parish,2008,180299.67947497245
1143,2071,West Feliciana Parish,2008,260419.15679167773
1144,158,East Baton Rouge Parish,2008,133275.5901264729
1145,160,Jefferson Parish,2008,161603.76031453346
1146,178,Orleans Parish,2008,125234.89037310208
1147,274,Caddo Parish,2008,50191.56488297887
1148,462,Livingston Parish,2008,131004.86478126176
1149,1041,Washington Parish,2008,187175.5656446961
1150,1360,Iberville Parish,2008,187143.71135508333
1151,1560,West Baton Rouge Parish,2008,209267.57894033563
1152,1661,Plaquemines Parish,2008,194031.0164883908
1153,1725,Pointe Coupee Parish,2008,180299.67947497245
1154,2071,West Feliciana Parish,2008,260419.15679167773
1155,158,East Baton Rouge Parish,2008,133314.0566225273
1156,160,Jefferson Parish,2008,160940.2132575951
1157,178,Orleans Parish,2008,126658.1507271148
1158,274,Caddo Parish,2008,50179.544102961874
1159,462,Livingston Parish,2008,131020.49179528384
1160,1041,Washington Parish,2008,187175.5656446961
1161,1360,Iberville Parish,2008,187143.71135508333
1162,1560,West Baton Rouge Parish,2008,209267.57894033563
1163,1661,Plaquemines Parish,2008,193724.4865979573
1164,1725,Pointe Coupee Parish,2008,180299.67947497245
1165,2071,West Feliciana Parish,2008,260419.15679167773
1166,158,East Baton Rouge Parish,2008,132476.20825534244
1167,160,Jefferson Parish,2008,160255.02879662614
1168,178,Orleans Parish,2008,127910.71600488613
1169,274,Caddo Parish,2008,50054.52799078508
1170,462,Livingston Parish,2008,131298.17181367654
1171,1041,Washington Parish,2008,187175.5656446961
1172,1360,Iberville Parish,2008,187143.71135508333
1173,1560,West Baton Rouge Parish,2008,209267.57894033563
1174,1661,Plaquemines Parish,2008,193642.74529384167
1175,1725,Pointe Coupee Parish,2008,180299.67947497245
1176,2071,West Feliciana Parish,2008,260419.15679167773
1177,158,East Baton Rouge Parish,2008,131952.1022466013
1178,160,Jefferson Parish,2008,159430.40328745998
1179,178,Orleans Parish,2008,127562.11338439316
1180,274,Caddo Parish,2008,49841.760184484185
1181,462,Livingston Parish,2008,131595.0850800964
1182,1041,Washington Parish,2008,187175.5656446961
1183,1360,Iberville Parish,2008,187143.71135508333
1184,1560,West Baton Rouge Parish,2008,209267.57894033563
1185,1661,Plaquemines Parish,2008,193830.2694621069
1186,1725,Pointe Coupee Parish,2008,180299.67947497245
1187,2071,West Feliciana Parish,2008,260419.15679167773
1188,158,East Baton Rouge Parish,2009,131424.36018961764
1189,160,Jefferson Parish,2009,159231.18861548355
1190,178,Orleans Parish,2009,127222.57349081976
1191,274,Caddo Parish,2009,49928.035056889945
1192,462,Livingston Parish,2009,133245.9788847611
1193,1041,Washington Parish,2009,185394.94110573
1194,1360,Iberville Parish,2009,192133.5587288452
1195,1560,West Baton Rouge Parish,2009,209439.17949034512
1196,1661,Plaquemines Parish,2009,195333.0171392347
1197,1725,Pointe Coupee Parish,2009,178723.71502351575
1198,2071,West Feliciana Parish,2009,260961.3876984392
1199,158,East Baton Rouge Parish,2009,131180.6734502673
1200,160,Jefferson Parish,2009,158714.86225686013
1201,178,Orleans Parish,2009,125882.29642439296
1202,274,Caddo Parish,2009,49938.89238686101
1203,462,Livingston Parish,2009,134638.1298610496
1204,1041,Washington Parish,2009,185394.94110573
1205,1360,Iberville Parish,2009,192133.5587288452
1206,1560,West Baton Rouge Parish,2009,209439.17949034512
1207,1661,Plaquemines Parish,2009,196013.40981742076
1208,1725,Pointe Coupee Parish,2009,178723.71502351575
1209,2071,West Feliciana Parish,2009,260961.3876984392
1210,158,East Baton Rouge Parish,2009,131228.92825013865
1211,160,Jefferson Parish,2009,158670.2265669791
1212,178,Orleans Parish,2009,125373.20828575022
1213,274,Caddo Parish,2009,49902.70128695749
1214,462,Livingston Parish,2009,135947.04130756
1215,1041,Washington Parish,2009,185394.94110573
1216,1360,Iberville Parish,2009,97841.432219151
1217,1560,West Baton Rouge Parish,2009,209439.17949034512
1218,1661,Plaquemines Parish,2009,196451.32212625325
1219,1725,Pointe Coupee Parish,2009,178723.71502351575
1220,2071,West Feliciana Parish,2009,260961.3876984392
1221,158,East Baton Rouge Parish,2009,131432.8047795951
1222,160,Jefferson Parish,2009,159182.9338156122
1223,178,Orleans Parish,2009,125801.46963460848
1224,274,Caddo Parish,2009,49890.63758698966
1225,462,Livingston Parish,2009,136231.74462680097
1226,1041,Washington Parish,2009,185394.94110573
1227,1360,Iberville Parish,2009,98086.3253284981
1228,1560,West Baton Rouge Parish,2009,109620.42886774776
1229,1661,Plaquemines Parish,2009,196617.80118580945
1230,1725,Pointe Coupee Parish,2009,178723.71502351575
1231,2071,West Feliciana Parish,2009,260961.3876984392
1232,158,East Baton Rouge Parish,2009,131637.88767904835
1233,160,Jefferson Parish,2009,159866.9456037886
1234,178,Orleans Parish,2009,127124.85752108028
1235,274,Caddo Parish,2009,49942.51149685136
1236,462,Livingston Parish,2009,135711.79915818715
1237,1041,Washington Parish,2009,185394.94110573
1238,1360,Iberville Parish,2009,98138.1992383598
1239,1560,West Baton Rouge Parish,2009,109529.95111798897
1240,1661,Plaquemines Parish,2009,196300.52587665527
1241,1725,Pointe Coupee Parish,2009,178723.71502351575
1242,2071,West Feliciana Parish,2009,260961.3876984392
1243,158,East Baton Rouge Parish,2009,131579.98191920272
1244,160,Jefferson Parish,2009,160424.2885423027
1245,178,Orleans Parish,2009,126873.93256174924
1246,274,Caddo Parish,2009,50111.40329640108
1247,462,Livingston Parish,2009,135048.2956599561
1248,1041,Washington Parish,2009,185394.94110573
1249,1360,Iberville Parish,2009,97884.86153903522
1250,1560,West Baton Rouge Parish,2009,109544.42755795036
1251,1661,Plaquemines Parish,2009,195552.5764786493
1252,1725,Pointe Coupee Parish,2009,178723.71502351575
1253,2071,West Feliciana Parish,2009,260961.3876984392
1254,158,East Baton Rouge Parish,2009,131964.81394817677
1255,160,Jefferson Parish,2009,160508.73444207755
1256,178,Orleans Parish,2009,127123.65115108348
1257,274,Caddo Parish,2009,50039.02109659405
1258,462,Livingston Parish,2009,134264.15516204663
1259,1041,Washington Parish,2009,185394.94110573
1260,1360,Iberville Parish,2009,97339.58230048895
1261,1560,West Baton Rouge Parish,2009,109414.13959829773
1262,1661,Plaquemines Parish,2009,194962.66155022208
1263,1725,Pointe Coupee Parish,2009,178723.71502351575
1264,2071,West Feliciana Parish,2009,155773.73220470126
1265,158,East Baton Rouge Parish,2009,132087.8636878487
1266,160,Jefferson Parish,2009,160331.39805255033
1267,178,Orleans Parish,2009,126176.65070360822
1268,274,Caddo Parish,2009,50036.60835660049
1269,462,Livingston Parish,2009,133981.86458279923
1270,1041,Washington Parish,2009,185394.94110573
1271,1360,Iberville Parish,2009,96803.95402191696
1272,1560,West Baton Rouge Parish,2009,109145.11908901492
1273,1661,Plaquemines Parish,2009,194328.1109319138
1274,1725,Pointe Coupee Parish,2009,178723.71502351575
1275,2071,West Feliciana Parish,2009,154955.81334688189
1276,158,East Baton Rouge Parish,2009,132715.17608617627
1277,160,Jefferson Parish,2009,160086.50494320327
1278,178,Orleans Parish,2009,126615.7693824375
1279,274,Caddo Parish,2009,50115.02240639144
1280,462,Livingston Parish,2009,133768.3370933685
1281,1041,Washington Parish,2009,185394.94110573
1282,1360,Iberville Parish,2009,96414.2965129558
1283,1560,West Baton Rouge Parish,2009,108826.63740986402
1284,1661,Plaquemines Parish,2009,194130.26625244127
1285,1725,Pointe Coupee Parish,2009,178723.71502351575
1286,2071,West Feliciana Parish,2009,154486.535418133
1287,158,East Baton Rouge Parish,2009,132710.35060618914
1288,160,Jefferson Parish,2009,159922.43862364066
1289,178,Orleans Parish,2009,126321.41510322229
1290,274,Caddo Parish,2009,50318.89893584789
1291,462,Livingston Parish,2009,133389.53691437838
1292,1041,Washington Parish,2009,185394.94110573
1293,1360,Iberville Parish,2009,96267.11937334818
1294,1560,West Baton Rouge Parish,2009,108550.37868060054
1295,1661,Plaquemines Parish,2009,193819.02279327103
1296,1725,Pointe Coupee Parish,2009,178723.71502351575
1297,2071,West Feliciana Parish,2009,153738.58602012703
1298,158,East Baton Rouge Parish,2009,133208.58141486082
1299,160,Jefferson Parish,2009,159552.08303462804
1300,178,Orleans Parish,2009,125673.5944149494
1301,274,Caddo Parish,2009,50461.25059546837
1302,462,Livingston Parish,2009,133052.95968527574
1303,1041,Washington Parish,2009,185394.94110573
1304,1360,Iberville Parish,2009,95818.3497345446
1305,1560,West Baton Rouge Parish,2009,108496.09203074526
1306,1661,Plaquemines Parish,2009,193903.468693046
1307,1725,Pointe Coupee Parish,2009,178723.71502351575
1308,2071,West Feliciana Parish,2009,153293.43549131384
1309,158,East Baton Rouge Parish,2009,131500.36149941498
1310,160,Jefferson Parish,2009,158206.98048821415
1311,178,Orleans Parish,2009,125803.88237460204
1312,274,Caddo Parish,2009,50470.90155544265
1313,462,Livingston Parish,2009,133118.10366510204
1314,1041,Washington Parish,2009,185394.94110573
1315,1360,Iberville Parish,2009,95710.98280483086
1316,1560,West Baton Rouge Parish,2009,108401.99517099616
1317,1661,Plaquemines Parish,2009,193814.19731328392
1318,1725,Pointe Coupee Parish,2009,178723.71502351575
1319,2071,West Feliciana Parish,2009,153172.79849163548
1320,158,East Baton Rouge Parish,2010,129210.84814909929
1321,160,Jefferson Parish,2010,154807.5665425395
1322,178,Orleans Parish,2010,124503.59668158636
1323,274,Caddo Parish,2010,49944.81637744432
1324,462,Livingston Parish,2010,132208.96141358183
1325,1041,Washington Parish,2010,172860.33881204826
1326,1360,Iberville Parish,2010,94196.06611604356
1327,1560,West Baton Rouge Parish,2010,106831.8198031698
1328,1661,Plaquemines Parish,2010,190254.3807324724
1329,1725,Pointe Coupee Parish,2010,175946.28278974205
1330,2071,West Feliciana Parish,2010,149754.92672983086
1331,158,East Baton Rouge Parish,2010,129036.3736242066
1332,160,Jefferson Parish,2010,154216.48958065818
1333,178,Orleans Parish,2010,125942.12133580363
1334,274,Caddo Parish,2010,50254.59767674358
1335,462,Livingston Parish,2010,133716.32635653226
1336,1041,Washington Parish,2010,172860.33881204826
1337,1360,Iberville Parish,2010,94403.77388377296
1338,1560,West Baton Rouge Parish,2010,106970.68728216604
1339,1661,Plaquemines Parish,2010,190273.37115695048
1340,1725,Pointe Coupee Parish,2010,175946.28278974205
1341,2071,West Feliciana Parish,2010,149308.65175459514
1342,158,East Baton Rouge Parish,2010,130203.09782808083
1343,160,Jefferson Parish,2010,154737.53935227645
1344,178,Orleans Parish,2010,127241.77851102468
1345,274,Caddo Parish,2010,50513.34221025791
1346,462,Livingston Parish,2010,134232.628522031
1347,1041,Washington Parish,2010,45001.37150548482
1348,1360,Iberville Parish,2010,94625.72446986094
1349,1560,West Baton Rouge Parish,2010,107185.51645907472
1350,1661,Plaquemines Parish,2010,190361.20187016175
1351,1725,Pointe Coupee Parish,2010,175946.28278974205
1352,2071,West Feliciana Parish,2010,148641.61309480132
1353,158,East Baton Rouge Parish,2010,130129.50993322814
1354,160,Jefferson Parish,2010,154730.4179430972
1355,178,Orleans Parish,2010,127644.13812965476
1356,274,Caddo Parish,2010,50573.8741882819
1357,462,Livingston Parish,2010,133545.4125362292
1358,1041,Washington Parish,2010,45025.10953608246
1359,1360,Iberville Parish,2010,94478.54868015554
1360,1560,West Baton Rouge Parish,2010,107098.8726473933
1361,1661,Plaquemines Parish,2010,190476.33131856035
1362,1725,Pointe Coupee Parish,2010,175946.28278974205
1363,2071,West Feliciana Parish,2010,148384.05546281688
1364,158,East Baton Rouge Parish,2010,129835.15835381736
1365,160,Jefferson Parish,2010,154923.88289246795
1366,178,Orleans Parish,2010,128185.36522728104
1367,274,Caddo Parish,2010,50559.631369923314
1368,462,Livingston Parish,2010,132443.96791649848
1369,1041,Washington Parish,2010,45091.57602175587
1370,1360,Iberville Parish,2010,94231.67316194004
1371,1560,West Baton Rouge Parish,2010,106974.24798675568
1372,1661,Plaquemines Parish,2010,189963.5898576512
1373,1725,Pointe Coupee Parish,2010,175946.28278974205
1374,2071,West Feliciana Parish,2010,148408.9803949444
1375,158,East Baton Rouge Parish,2010,130036.93161389732
1376,160,Jefferson Parish,2010,154628.34441152727
1377,178,Orleans Parish,2010,128586.53794438124
1378,274,Caddo Parish,2010,50640.3406739553
1379,462,Livingston Parish,2010,132252.87677018746
1380,1041,Washington Parish,2010,45134.30447683164
1381,1360,Iberville Parish,2010,93651.27831382764
1382,1560,West Baton Rouge Parish,2010,106862.67924294676
1383,1661,Plaquemines Parish,2010,189636.0050354037
1384,1725,Pointe Coupee Parish,2010,175946.28278974205
1385,2071,West Feliciana Parish,2010,148439.83983472132
1386,158,East Baton Rouge Parish,2010,129940.79258997686
1387,160,Jefferson Parish,2010,154304.32029386944
1388,178,Orleans Parish,2010,128743.2089463257
1389,274,Caddo Parish,2010,50565.56587757273
1390,462,Livingston Parish,2010,132434.47270425945
1391,1041,Washington Parish,2010,45302.84449407491
1392,1360,Iberville Parish,2010,93352.17912829731
1393,1560,West Baton Rouge Parish,2010,106631.23344461972
1394,1661,Plaquemines Parish,2010,189269.2524626701
1395,1725,Pointe Coupee Parish,2010,175946.28278974205
1396,2071,West Feliciana Parish,2010,148653.48211010013
1397,158,East Baton Rouge Parish,2010,129416.18211376893
1398,160,Jefferson Parish,2010,153901.9606752394
1399,178,Orleans Parish,2010,128708.7888019591
1400,274,Caddo Parish,2010,50474.1744597718
1401,462,Livingston Parish,2010,132639.80666892906
1402,1041,Washington Parish,2010,45336.07773691161
1403,1360,Iberville Parish,2010,93339.1232114686
1404,1560,West Baton Rouge Parish,2010,106425.8994799501
1405,1661,Plaquemines Parish,2010,189308.42021315623
1406,1725,Pointe Coupee Parish,2010,175946.28278974205
1407,2071,West Feliciana Parish,2010,147959.14471511904
1408,158,East Baton Rouge Parish,2010,128939.04769875629
1409,160,Jefferson Parish,2010,152839.68380599478
1410,178,Orleans Parish,2010,127707.04391073852
1411,274,Caddo Parish,2010,50364.97951902263
1412,462,Livingston Parish,2010,132979.26050647537
1413,1041,Washington Parish,2010,45467.82380672854
1414,1360,Iberville Parish,2010,93564.63450214623
1415,1560,West Baton Rouge Parish,2010,106233.62143210918
1416,1661,Plaquemines Parish,2010,189162.43132498072
1417,1725,Pointe Coupee Parish,2010,175946.28278974205
1418,2071,West Feliciana Parish,2010,147376.37606394684
1419,158,East Baton Rouge Parish,2010,128403.75510877938
1420,160,Jefferson Parish,2010,151936.4517417544
1421,178,Orleans Parish,2010,127228.72259419598
1422,274,Caddo Parish,2010,50379.222337381216
1423,462,Livingston Parish,2010,133150.17432677842
1424,1041,Washington Parish,2010,45385.92760116667
1425,1360,Iberville Parish,2010,93760.4732545768
1426,1560,West Baton Rouge Parish,2010,106202.76199233222
1427,1661,Plaquemines Parish,2010,189239.57992442304
1428,1725,Pointe Coupee Parish,2010,175946.28278974205
1429,2071,West Feliciana Parish,2010,147101.0149090142
1430,158,East Baton Rouge Parish,2010,128145.01057526506
1431,160,Jefferson Parish,2010,150483.68426917854
1432,178,Orleans Parish,2010,126664.94436750191
1433,274,Caddo Parish,2010,50328.18557159628
1434,462,Livingston Parish,2010,133236.8181384598
1435,1041,Washington Parish,2010,45435.77746542172
1436,1360,Iberville Parish,2010,93849.49086931796
1437,1560,West Baton Rouge Parish,2010,106429.46018453973
1438,1661,Plaquemines Parish,2010,189136.3194913233
1439,1725,Pointe Coupee Parish,2010,175946.28278974205
1440,2071,West Feliciana Parish,2010,147135.43505338076
1441,158,East Baton Rouge Parish,2010,127155.13469934328
1442,160,Jefferson Parish,2010,148628.5571779726
1443,178,Orleans Parish,2010,126876.21283982096
1444,274,Caddo Parish,2010,50308.00824558828
1445,462,Livingston Parish,2010,132735.94569284952
1446,1041,Washington Parish,2010,45763.36228766922
1447,1360,Iberville Parish,2010,93817.44452801114
1448,1560,West Baton Rouge Parish,2010,103813.5292126793
1449,1661,Plaquemines Parish,2010,188782.6228354184
1450,1725,Pointe Coupee Parish,2010,175946.28278974205
1451,2071,West Feliciana Parish,2010,147275.48943390686
1452,158,East Baton Rouge Parish,2011,121609.7245653266
1453,160,Jefferson Parish,2011,142362.79098333325
1454,178,Orleans Parish,2011,122989.27363863093
1455,274,Caddo Parish,2011,48585.670323954495
1456,462,Livingston Parish,2011,127425.92186770636
1457,1041,Washington Parish,2011,45881.80016359991
1458,1360,Iberville Parish,2011,90942.0840316708
1459,1560,West Baton Rouge Parish,2011,98869.60122522103
1460,1661,Plaquemines Parish,2011,182569.91555932935
1461,1725,Pointe Coupee Parish,2011,171321.81569225434
1462,2071,West Feliciana Parish,2011,142073.99463854646
1463,158,East Baton Rouge Parish,2011,120166.8934244395
1464,160,Jefferson Parish,2011,141564.28634874342
1465,178,Orleans Parish,2011,122722.33837173632
1466,274,Caddo Parish,2011,48522.38825637172
1467,462,Livingston Parish,2011,125521.70692498854
1468,1041,Washington Parish,2011,47153.19443049004
1469,1360,Iberville Parish,2011,91212.47104770626
1470,1560,West Baton Rouge Parish,2011,96892.8995505448
1471,1661,Plaquemines Parish,2011,182019.9368628828
1472,1725,Pointe Coupee Parish,2011,171321.81569225434
1473,2071,West Feliciana Parish,2011,141639.0742467958
1474,158,East Baton Rouge Parish,2011,118651.57555159398
1475,160,Jefferson Parish,2011,141662.085907735
1476,178,Orleans Parish,2011,122033.13912660764
1477,274,Caddo Parish,2011,48479.81668363423
1478,462,Livingston Parish,2011,124017.8948826126
1479,1041,Washington Parish,2011,48092.07019680891
1480,1360,Iberville Parish,2011,91681.9089308657
1481,1560,West Baton Rouge Parish,2011,97635.02561583364
1482,1661,Plaquemines Parish,2011,181609.17871511832
1483,1725,Pointe Coupee Parish,2011,171321.81569225434
1484,2071,West Feliciana Parish,2011,141319.2121597411
1485,158,East Baton Rouge Parish,2011,117813.95109340757
1486,160,Jefferson Parish,2011,141298.5016648958
1487,178,Orleans Parish,2011,121041.33654012866
1488,274,Caddo Parish,2011,48470.61201925855
1489,462,Livingston Parish,2011,123113.53660770252
1490,1041,Washington Parish,2011,47995.42122086432
1491,1360,Iberville Parish,2011,91968.4041095586
1492,1560,West Baton Rouge Parish,2011,97697.15710036944
1493,1661,Plaquemines Parish,2011,181342.24344822371
1494,1725,Pointe Coupee Parish,2011,171321.81569225434
1495,2071,West Feliciana Parish,2011,141208.75618723297
1496,158,East Baton Rouge Parish,2011,117247.86423430352
1497,160,Jefferson Parish,2011,140755.42646673098
1498,178,Orleans Parish,2011,120318.77038663816
1499,274,Caddo Parish,2011,48517.78592418389
1500,462,Livingston Parish,2011,122180.41375661844
1501,1041,Washington Parish,2011,48003.47530219304
1502,1360,Iberville Parish,2011,91975.30760784034
1503,1560,West Baton Rouge Parish,2011,97983.65227906231
1504,1661,Plaquemines Parish,2011,181086.81401179876
1505,1725,Pointe Coupee Parish,2011,171321.81569225434
1506,2071,West Feliciana Parish,2011,141048.82514370562
1507,158,East Baton Rouge Parish,2011,117147.76350921804
1508,160,Jefferson Parish,2011,140306.6990784168
1509,178,Orleans Parish,2011,119941.37914723548
1510,274,Caddo Parish,2011,48544.24933426395
1511,462,Livingston Parish,2011,121104.6186077114
1512,1041,Washington Parish,2011,48151.9005152508
1513,1360,Iberville Parish,2011,91899.36912674102
1514,1560,West Baton Rouge Parish,2011,98410.51858948426
1515,1661,Plaquemines Parish,2011,181139.7408319589
1516,1725,Pointe Coupee Parish,2011,171321.81569225434
1517,2071,West Feliciana Parish,2011,140435.56437967627
1518,158,East Baton Rouge Parish,2011,117747.21727668388
1519,160,Jefferson Parish,2011,139601.3916706307
1520,178,Orleans Parish,2011,119348.82887805135
1521,274,Caddo Parish,2011,48676.566384664286
1522,462,Livingston Parish,2011,120783.60593760975
1523,1041,Washington Parish,2011,48311.83155877816
1524,1360,Iberville Parish,2011,91679.60776477178
1525,1560,West Baton Rouge Parish,2011,98866.14947608016
1526,1661,Plaquemines Parish,2011,181245.5944722792
1527,1725,Pointe Coupee Parish,2011,171321.81569225434
1528,2071,West Feliciana Parish,2011,140272.18158700803
1529,158,East Baton Rouge Parish,2011,117954.32222513658
1530,160,Jefferson Parish,2011,138377.1713086659
1531,178,Orleans Parish,2011,118696.4482904254
1532,274,Caddo Parish,2011,48708.782709979154
1533,462,Livingston Parish,2011,121102.3174416175
1534,1041,Washington Parish,2011,48570.71274434402
1535,1360,Iberville Parish,2011,91668.10193430218
1536,1560,West Baton Rouge Parish,2011,98990.4124451518
1537,1661,Plaquemines Parish,2011,181593.07055246088
1538,1725,Pointe Coupee Parish,2011,171321.81569225434
1539,2071,West Feliciana Parish,2011,139954.62066604724
1540,158,East Baton Rouge Parish,2011,117884.13665927207
1541,160,Jefferson Parish,2011,137361.20647820077
1542,178,Orleans Parish,2011,118129.2108482744
1543,274,Caddo Parish,2011,48827.29276381597
1544,462,Livingston Parish,2011,121079.30578067832
1545,1041,Washington Parish,2011,48740.99903529401
1546,1360,Iberville Parish,2011,91691.11359524136
1547,1560,West Baton Rouge Parish,2011,98996.1653603866
1548,1661,Plaquemines Parish,2011,301900.70463585434
1549,1725,Pointe Coupee Parish,2011,96225.56138330836
1550,2071,West Feliciana Parish,2011,139689.98656524657
1551,158,East Baton Rouge Parish,2011,117802.44526293797
1552,160,Jefferson Parish,2011,136692.71772791733
1553,178,Orleans Parish,2011,118223.55865812508
1554,274,Caddo Parish,2011,48990.6755564842
1555,462,Livingston Parish,2011,120719.17328698002
1556,1041,Washington Parish,2011,48894.026580539605
1557,1360,Iberville Parish,2011,91935.03720119676
1558,1560,West Baton Rouge Parish,2011,99142.28940735044
1559,1661,Plaquemines Parish,2011,301900.70463585434
1560,1725,Pointe Coupee Parish,2011,96705.35451389044
1561,2071,West Feliciana Parish,2011,139734.85930407798
1562,158,East Baton Rouge Parish,2011,117503.2936707285
1563,160,Jefferson Parish,2011,136281.95958015282
1564,178,Orleans Parish,2011,118454.82585056392
1565,274,Caddo Parish,2011,49076.96928500616
1566,462,Livingston Parish,2011,120377.45012203309
1567,1041,Washington Parish,2011,49094.22803071055
1568,1360,Iberville Parish,2011,92155.94914621297
1569,1560,West Baton Rouge Parish,2011,98927.13037756902
1570,1661,Plaquemines Parish,2011,301900.70463585434
1571,1725,Pointe Coupee Parish,2011,96909.00771320224
1572,2071,West Feliciana Parish,2011,139818.85186650604
1573,158,East Baton Rouge Parish,2011,117509.0465859633
1574,160,Jefferson Parish,2011,135634.1813247147
1575,178,Orleans Parish,2011,117602.24381276702
1576,274,Caddo Parish,2011,48848.00325866124
1577,462,Livingston Parish,2011,117924.40706591564
1578,1041,Washington Parish,2011,48898.62891272745
1579,1360,Iberville Parish,2011,92666.80801906294
1580,1560,West Baton Rouge Parish,2011,98829.33081857748
1581,1661,Plaquemines Parish,2011,172021.37018480565
1582,1725,Pointe Coupee Parish,2011,97205.85813931776
1583,2071,West Feliciana Parish,2011,243271.56503772072
1584,158,East Baton Rouge Parish,2012,114893.21825918795
1585,160,Jefferson Parish,2012,132009.45920625102
1586,178,Orleans Parish,2012,113878.68869831091
1587,274,Caddo Parish,2012,47756.16094061691
1588,462,Livingston Parish,2012,115923.52939101197
1589,1041,Washington Parish,2012,47900.44958927498
1590,1360,Iberville Parish,2012,177578.84847817008
1591,1560,West Baton Rouge Parish,2012,96748.92069043616
1592,1661,Plaquemines Parish,2012,168638.48537418226
1593,1725,Pointe Coupee Parish,2012,95343.23362108764
1594,2071,West Feliciana Parish,2012,236935.8376091842
1595,158,East Baton Rouge Parish,2012,114517.84232166344
1596,160,Jefferson Parish,2012,130919.40355584206
1597,178,Orleans Parish,2012,112679.28930634075
1598,274,Caddo Parish,2012,47800.12388825492
1599,462,Livingston Parish,2012,116495.047710306
1600,1041,Washington Parish,2012,47795.614867984346
1601,1360,Iberville Parish,2012,94379.43053825448
1602,1560,West Baton Rouge Parish,2012,97185.16840161328
1603,1661,Plaquemines Parish,2012,168576.48634546198
1604,1725,Pointe Coupee Parish,2012,95470.6134437311
1605,2071,West Feliciana Parish,2012,236935.8376091842
1606,158,East Baton Rouge Parish,2012,114711.73019329771
1607,160,Jefferson Parish,2012,130772.86039704867
1608,178,Orleans Parish,2012,112990.4117050097
