,SizeRank,County,Year,Value
128,1560,West Baton Rouge Parish,2000,183871.31580885407
129,1661,Plaquemines Parish,2000,285832.149543545
130,1725,Pointe Coupee Parish,2000,150296.74796747966
131,2071,West Feliciana Parish,2000,201201.32127984276
132,158,East Baton Rouge Parish,2001,201783.3108827212
133,160,Jefferson Parish,2001,147022.47687747036
134,178,Orleans Parish,2001,126943.068972332
135,274,Caddo Parish,2001,135199.6363956651
136,462,Livingston Parish,2001,152115.39802371542
137,1041,Washington Parish,2001,152130.0118577075
138,1360,Iberville Parish,2001,170983.13722258937
139,1560,West Baton Rouge Parish,2001,183110.53915514372
140,1661,Plaquemines Parish,2001,296350.0947839422
141,1725,Pointe Coupee Parish,2001,154205.17628458497
142,2071,West Feliciana Parish,2001,208448.54515661427
143,158,East Baton Rouge Parish,2001,201783.3108827212
144,160,Jefferson Parish,2001,147566.1115019763
145,178,Orleans Parish,2001,128075.64110671935
146,274,Caddo Parish,2001,135199.6363956651
147,462,Livingston Parish,2001,152115.39802371542
148,1041,Washington Parish,2001,152130.0118577075
149,1360,Iberville Parish,2001,170983.13722258937
150,1560,West Baton Rouge Parish,2001,183110.53915514372
151,1661,Plaquemines Parish,2001,296350.0947839422
152,1725,Pointe Coupee Parish,2001,154205.17628458497
153,2071,West Feliciana Parish,2001,208448.54515661427
154,158,East Baton Rouge Parish,2001,201783.3108827212
155,160,Jefferson Parish,2001,148146.28071146246
156,178,Orleans Parish,2001,129209.67462450592
157,274,Caddo Parish,2001,135199.6363956651
158,462,Livingston Parish,2001,152115.39802371542
159,1041,Washington Parish,2001,152130.0118577075
160,1360,Iberville Parish,2001,170983.13722258937
161,1560,West Baton Rouge Parish,2001,183110.53915514372
162,1661,Plaquemines Parish,2001,296350.0947839422
163,1725,Pointe Coupee Parish,2001,154205.17628458497
164,2071,West Feliciana Parish,2001,208448.54515661427
165,158,East Baton Rouge Parish,2001,201783.3108827212
166,160,Jefferson Parish,2001,148577.38881422923
167,178,Orleans Parish,2001,129886.29513833992
168,274,Caddo Parish,2001,135199.6363956651
169,462,Livingston Parish,2001,152115.39802371542
170,1041,Washington Parish,2001,152130.0118577075
171,1360,Iberville Parish,2001,170983.13722258937
172,1560,West Baton Rouge Parish,2001,183110.53915514372
173,1661,Plaquemines Parish,2001,296350.0947839422
174,1725,Pointe Coupee Parish,2001,154205.17628458497
175,2071,West Feliciana Parish,2001,208448.54515661427
176,158,East Baton Rouge Parish,2001,201783.3108827212
177,160,Jefferson Parish,2001,149014.34245059287
178,178,Orleans Parish,2001,130681.28770750988
179,274,Caddo Parish,2001,135199.6363956651
180,462,Livingston Parish,2001,152115.39802371542
181,1041,Washington Parish,2001,152130.0118577075
182,1360,Iberville Parish,2001,170983.13722258937
183,1560,West Baton Rouge Parish,2001,183110.53915514372
184,1661,Plaquemines Parish,2001,296350.0947839422
185,1725,Pointe Coupee Parish,2001,154205.17628458497
186,2071,West Feliciana Parish,2001,208448.54515661427
187,158,East Baton Rouge Parish,2001,201783.3108827212
188,160,Jefferson Parish,2001,149138.56003952568
189,178,Orleans Parish,2001,131439.7456916996
190,274,Caddo Parish,2001,135199.6363956651
191,462,Livingston Parish,2001,152115.39802371542
192,1041,Washington Parish,2001,152130.0118577075
193,1360,Iberville Parish,2001,170983.13722258937
194,1560,West Baton Rouge Parish,2001,183110.53915514372
195,1661,Plaquemines Parish,2001,296350.0947839422
196,1725,Pointe Coupee Parish,2001,154205.17628458497
197,2071,West Feliciana Parish,2001,208448.54515661427
198,158,East Baton Rouge Parish,2001,201783.3108827212
199,160,Jefferson Parish,2001,149489.29205533597
200,178,Orleans Parish,2001,132331.18956521738
201,274,Caddo Parish,2001,135199.6363956651
202,462,Livingston Parish,2001,152115.39802371542
203,1041,Washington Parish,2001,152130.0118577075
204,1360,Iberville Parish,2001,170983.13722258937
205,1560,West Baton Rouge Parish,2001,183110.53915514372
206,1661,Plaquemines Parish,2001,296350.0947839422
207,1725,Pointe Coupee Parish,2001,154205.17628458497
208,2071,West Feliciana Parish,2001,208448.54515661427
209,158,East Baton Rouge Parish,2001,201783.3108827212
210,160,Jefferson Parish,2001,149711.42233201582
211,178,Orleans Parish,2001,132939.12505928852
212,274,Caddo Parish,2001,135199.6363956651
213,462,Livingston Parish,2001,152115.39802371542
214,1041,Washington Parish,2001,152130.0118577075
215,1360,Iberville Parish,2001,170983.13722258937
216,1560,West Baton Rouge Parish,2001,183110.53915514372
217,1661,Plaquemines Parish,2001,296350.0947839422
