22   0   847739   829070   866408 18.8 18.4 19.2   282297   272616   291978 26.4 25.5 27.3   196521   188104   204938 25.4 24.3 26.5  51108  50529  51687   82040   77490   86590 28.1 26.5 29.7 Louisiana                                     LA est19-la.txt 16NOV2020
22  53     5877     4799     6955 19.1 15.6 22.6     1970     1483     2457 25.1 18.9 31.3     1377      993     1761 23.9 17.2 30.6  47988  42199  53777                                        Jefferson Davis Parish                        LA est19-la.txt 16NOV2020
22  55    39646    34265    45027 16.6 14.3 18.9    12811    10241    15381 22.5 18.0 27.0     8950     7088    10812 22.0 17.4 26.6  60053  56498  63608                                        Lafayette Parish                              LA est19-la.txt 16NOV2020
22  57    16755    14387    19123 17.5 15.0 20.0     5917     4970     6864 26.8 22.5 31.1     3474     2548     4400 21.6 15.9 27.3  54145  49381  58909                                        Lafourche Parish                              LA est19-la.txt 16NOV2020
22  59     2300     1723     2877 16.9 12.7 21.1      712      494      930 21.4 14.8 28.0      491      323      659 20.1 13.2 27.0  51014  45556  56472                                        La Salle Parish                               LA est19-la.txt 16NOV2020
22  61    12361    10831    13891 29.5 25.9 33.1     3386     2853     3919 37.0 31.2 42.8     2517     2140     2894 38.6 32.8 44.4  41608  36757  46459                                        Lincoln Parish                                LA est19-la.txt 16NOV2020
22  63    16700    13606    19794 12.0  9.8 14.2     5288     3814     6762 15.0 10.8 19.2     3695     2615     4775 14.3 10.1 18.5  63852  58525  69179                                        Livingston Parish                             LA est19-la.txt 16NOV2020
22  65     3855     3071     4639 41.1 32.7 49.5     1390     1023     1757 54.1 39.8 68.4     1003      728     1278 55.0 39.9 70.1  32229  28724  35734                                        Madison Parish                                LA est19-la.txt 16NOV2020
22  67     7449     6321     8577 31.0 26.3 35.7     2364     1737     2991 39.9 29.3 50.5     1620     1118     2122 37.9 26.2 49.6  34922  30872  38972                                        Morehouse Parish                              LA est19-la.txt 16NOV2020
22  69     7047     5539     8555 19.6 15.4 23.8     2072     1267     2877 23.9 14.6 33.2     1396      788     2004 22.2 12.5 31.9  49536  47293  51779                                        Natchitoches Parish                           LA est19-la.txt 16NOV2020
22  71    88917    81125    96709 23.5 21.4 25.6    25387    21585    29189 33.4 28.4 38.4    19898    17230    22566 36.8 31.9 41.7  45092  42911  47273                                        Orleans Parish                                LA est19-la.txt 16NOV2020
22  73    35315    31698    38932 23.9 21.5 26.3    13748    11966    15530 37.4 32.6 42.2     9837     8508    11166 37.0 32.0 42.0  43235  39705  46765                                        Ouachita Parish                               LA est19-la.txt 16NOV2020
22  75     3450     2658     4242 15.1 11.6 18.6     1110      782     1438 18.9 13.3 24.5      772      520     1024 17.7 11.9 23.5  60795  54085  67505                                        Plaquemines Parish                            LA est19-la.txt 16NOV2020
22  77     4312     3461     5163 20.0 16.1 23.9     1265      895     1635 27.6 19.5 35.7      888      607     1169 26.5 18.1 34.9  48011  42216  53806                                        Pointe Coupee Parish                          LA est19-la.txt 16NOV2020
22  79    23052    19667    26437 18.3 15.6 21.0     8158     6645     9671 26.1 21.3 30.9     5259     4045     6473 23.1 17.8 28.4  49687  46892  52482                                        Rapides Parish                                LA est19-la.txt 16NOV2020
22  81     1970     1519     2421 23.9 18.4 29.4      649      440      858 33.7 22.8 44.6      429      269      589 30.6 19.2 42.0  39806  35055  44557                                        Red River Parish                              LA est19-la.txt 16NOV2020
